filename,title,tags
2026-03-13-Staticware-0.2.0.md,Staticware 0.2.0: The first cut,
2026-03-10-Cookiecutter-Chardet-and-the-Cascade.md,"Cookiecutter, Chardet, and the Cascade","cookiecutter, binaryornot, open-source"
2026-03-09-BinaryOrNot-0.6.0.md,BinaryOrNot 0.6.0: Three Layers of Detection,
2026-03-07-BinaryOrNot-0.5.0.md,"BinaryOrNot 0.5.0: Zero Dependencies, 128 Bytes, One Trained Classifier",
2026-03-04-Cookiecutter-2.7.1.md,Cookiecutter 2.7.1: The One Where It Knows Its Own Name,
2026-03-03-Cookiecutter-2.7.0.md,"Cookiecutter 2.7.0: Python 3.14, a Security Trust Model, and Verified Releases","python, cookiecutter, open-source"
2026-02-19-Kalinga-Means-Care-Air-Loves-PythonAsia-2026.md,Kalinga Means Care: Air ❤️ PythonAsia 2026,"air, python, pythonasia, pythonph, durianpy"
2026-02-18-Dependabot-Cookiecutter-Template-Workflows.md,How to Make Dependabot Update Actions Inside a Cookiecutter Template,
2026-02-17-Cookiecutter-PyPackage-v0.4.0.md,Cookiecutter PyPackage v0.4.0: Everything a Modern Python Package Needs,"python, cookiecutter, open-source"
2026-02-11-Healing-and-Survival-Come-First.md,Healing and Survival Come First,"family, personal"
2025-12-16-Adopting-Idiomatic-PyTest-Code-Review.md,Adopting Idiomatic PyTest: A Code Review,
2025-11-26-AirDragon.md,Introducing AirDragon: A Component Library Born on an Airplane,
2025-10-26-The-First-Air-Sprint.md,The First Air Sprint,
2025-10-25-Python-Tricks-You-Cant-Live-Without.md,Python Tricks You Can't Live Without,
2025-10-06-air-pioneering-ai-first-python-web-framework.md,Introducing Air: A Pioneering AI-First Python Web Framework,
2025-10-02-run-any-python-tool-instantly-without-installation-uvx.md,"Run Any Python CLI Instantly — No Install, No Virtualenv (uvx)",
2025-07-27-Gemini-CLI-Settings-With-MCP.md,Gemini CLI settings.json with MCP Config,
2025-05-09-Accessing-CSS-Classes-in-FastHTML.md,Accessing CSS Classes in FastHTML,
2025-05-06-JSON-to-SQLite-With-sqlite-utils.md,JSON to SQLite With sqlite-utils,
2025-05-05-Clearing-a-Local-Port-Thats-in-Use.md,Clearing a Local Port That's in Use,
2025-04-15-Semantic-Search-With-Sentence-Transformers-and-a-Cross-Encoder-Model.md,Semantic Search With Sentence Transformers and a Cross-Encoder Model,
2025-04-14-Semantic-Search-With-Sentence-Transformers-and-a-Bi-Encoder-Model.md,Semantic Search With Sentence Transformers and a Bi-Encoder Model,
2025-04-08-Get-a-Jupyter-Notebook-Filename-From-Itself.md,Get a Jupyter Notebook Filename From Itself,
2025-03-20-Minimal-Screen-Recording-on-macOS-No-Third-Party-Apps-Required.md,Minimal Screen Recording on macOS: No Third-Party Apps Required,
2025-03-14-Pi.md,Pi,
